NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 8, 615436 (3)",615436,PRKG1,176894,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 6, 611788 (3)",611788,ACTA2,102620,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 9, 616166 (3)",616166,MFAP5,601103,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 4, 132900 (3)",132900,MYH11,160745,1,NA,1,NA
Generalised pustular psoriasis,NA,NA,"Psoriasis 14, pustular, 614204 (3)",614204,IL36RN,605507,1,NA,1,NA
Generalised pustular psoriasis,NA,NA,"{Psoriasis 15, pustular, susceptibility to}, 616106 (3)",616106,AP1S3,615781,1,NA,1,NA
Hereditary haemorrhagic telangiectasia,"Telangiectasia, hereditary hemorrhagic",PS187300,NA,NA,NA,NA,1,NA,1,NA
Hereditary spastic paraplegia,Spastic paraplegia,PS303350,NA,NA,NA,NA,1,NA,1,NA
Hyperinsulinism,Hyperinsulinemia hypoglycemia,PS256450,NA,NA,NA,NA,1,NA,1,NA
Hypertrophic Cardiomyopathy,"Cardiomyopathy, familial hypertrophic",PS192600,NA,NA,NA,NA,1,NA,1,NA
Idiopathic hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism with or without anosmia,PS147950,NA,NA,NA,NA,1,NA,1,NA
Infantile nystagmus,"Nystagmus, congenital",PS310700,NA,NA,NA,NA,1,NA,1,NA
Inherited non-medullary thyroid cancer,"Thyroid cancer, nonmedullary",PS188550,NA,NA,NA,NA,1,NA,1,NA
Kabuki syndrome,Kabuki syndrome,PS147920,NA,NA,NA,NA,1,NA,1,NA
Kyphoscoliotic Ehlers-Danlos syndrome,Ehlers-Danlos syndrome,PS130000 (USED SUBSET OF THIS SERIES),"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3)",225400,PLOD1,153454,1,NA,1,NA
Kyphoscoliotic Ehlers-Danlos syndrome,Ehlers-Danlos syndrome,PS130000 (USED SUBSET OF THIS SERIES),"Ehlers-Danlos syndrome, kyphoscoliotic type, 2, 614557 (3)",614557,FKBP14,614505,1,NA,1,NA
Leber Congenital Amaurosis or Early-Onset Severe Retinal Dystrophy,Leber congenital amaurosis,PS204000,NA,NA,NA,NA,1,NA,1,NA
Left Ventricular Noncompaction Cardiomyopathy,Left ventricular noncompaction - PS604169,PS604169,NA,NA,NA,NA,1,NA,1,NA
Limb girdle muscular dystrophy,"Muscular dystrophy, limb-girdle, autosomal dominant",PS603511,NA,NA,NA,NA,1,NA,1,NA
Limb girdle muscular dystrophy,"Muscular dystrophy, limb-girdle, autosomal recessive",PS253600,NA,NA,NA,NA,1,NA,1,NA
Long QT syndrome,Long QT syndrome,PS192500,NA,NA,NA,NA,1,NA,1,NA
Malformations of cortical development,"Cortical dysplasia, complex, with other brain malformations",PS614039,NA,NA,NA,NA,1,NA,1,NA
Milroy disease,NA,NA,"Lymphatic malformation 1, 153100 (3)",153100,FLT4,136352,1,NA,1,NA
Moyamoya disease,Moyamoya disease,PS252350,NA,NA,NA,NA,1,NA,1,NA
Multiple bowel polyps,NA,NA,NA,175510,NA,NA,1,"exclude # 175510. GIST-PLUS SYNDROME; GISTPS,",1,NA
Multiple bowel polyps,NA,NA,"Adenomatous polyposis coli, 175100 (3)",175100,APC,611731,1,"exclude # 175510. GIST-PLUS SYNDROME; GISTPS,",1,NA
Multiple bowel polyps,NA,NA,"Brain tumor-polyposis syndrome 2, 175100 (3)",175100,APC,611731,1,"exclude # 175510. GIST-PLUS SYNDROME; GISTPS,",1,NA
Multiple bowel polyps,NA,NA,"Gardner syndrome, 175100 (3)",175100,APC,611731,1,"exclude # 175510. GIST-PLUS SYNDROME; GISTPS,",1,NA
Multiple bowel polyps,NA,NA,"Adenomas, multiple colorectal, 608456 (3)",608456,MUTYH,604933,1,"exclude # 175510. GIST-PLUS SYNDROME; GISTPS,",1,NA
Multiple endocrine tumours,Multiple endocrine neoplasia,PS131100,NA,NA,NA,NA,1,NA,1,NA
Multiple Epiphyseal Dysplasia,"Epiphyseal dysplasia, multiple",PS132400,NA,NA,NA,NA,1,NA,1,NA
Noonan syndrome,Noonan syndrome,PS163950,NA,NA,NA,NA,1,NA,1,NA
Osteogenesis imperfecta,Osteogenesis imperfecta,PS166200,NA,NA,NA,NA,1,NA,1,NA
Palmoplantar keratoderma and erythrokeratodermas,Erythrokeratodermia variabilis et progressiva,PS133200,NA,NA,NA,NA,1,NA,1,NA
Primary ciliary dyskinesia,Primary ciliary dyskinesia,PS244400,NA,NA,NA,NA,1,NA,1,NA
Primary Microcephaly - Microcephalic Dwarfism Spectrum,"Microcephaly, primary autosomal recessive",PS251200,NA,NA,NA,NA,1,NA,1,NA
Proteinuric renal disease,Nephrotic syndrome,PS256300,NA,NA,NA,NA,1,NA,1,NA
Pulmonary arterial hypertension,"Pulmonary hypertension, primary",PS178600,NA,NA,NA,NA,1,NA,1,NA
Renal tubular acidosis,NA,NA,"Renal tubular acidosis, distal, AD, 179800 (3)",179800,SLC4A1,109270,1,NA,1,NA
Renal tubular acidosis,NA,NA,"Renal tubular acidosis with deafness, 267300 (3)",267300,ATP6V1B1,192132,1,NA,1,NA
Renal tubular acidosis,NA,NA,"Renal tubular acidosis, distal, autosomal recessive, 602722 (3)",602722,ATP6V0A4,605239,1,NA,1,NA
Renal tubular acidosis,NA,NA,"Renal tubular acidosis, proximal, with ocular abnormalities, 604278 (3)",604278,SLC4A4,603345,1,NA,1,NA
Renal tubular acidosis,NA,NA,"Renal tubular acidosis, distal, AR, 611590 (3)",611590,SLC4A1,109270,1,NA,1,NA
Rod-cone dystrophy,Cone-rod dystrophy/Cone dystrophy,PS120970,NA,NA,NA,NA,1,NA,1,NA
Severe hypertriglyceridaemia,NA,NA,"Hypertriglyceridemia, transient infantile, 614480 (3)",614480,GPD1,138420,1,NA,1,NA
Severe hypertriglyceridaemia,NA,NA,"{Hypertriglyceridemia, susceptibility to}, 145750 (3)",145750,APOA5,606368,1,NA,1,NA
Severe hypertriglyceridaemia,NA,NA,"{Hypertriglyceridemia, susceptibility to}, 145750 (3)",145750,LIPI,609252,1,NA,1,NA
Silver Russell syndrome,NA,NA,"Silver-Russell syndrome, 180860 (3)",180860,H19,103280,1,NA,1,NA
Sotos syndrome,Sotos syndrome,PS117550,NA,NA,NA,NA,1,NA,1,NA
Stickler syndrome,Stickler syndrome,PS108300,NA,NA,NA,NA,1,NA,1,NA
Syndromic cleft lip and or cleft palate,Orofacial cleft,PS119530 look into series,NA,NA,NA,NA,1,NA,1,NA
Weaver syndrome,NA,NA,"Weaver syndrome, 277590 (3)",277590,EZH2,601573,1,NA,1,NA
Leber Congenital Amaurosis or Early-Onset Severe Retinal Dystrophy,Leber congenital amaurosis,PS204000,NA,NA,NA,NA,1,I would include both phenotype series PS204000,6,NA
Familial cerebral small vessel disease,Brain small vessel disease,PS175780,NA,NA,NA,NA,1,NA,1,NA
